Weekday,Draw Date,Time of day,Numbers,Played,My Numbers,Bet Amounts,Matched Numbers,Correct vs Picked,Winnings,Pick Method
Tuesday,27-Dec-22,Evening,"[4, 7, 9, 13, 22, 24, 25, 27, 29, 32, 35, 43, 46, 50, 51, 54, 56, 58, 63, 64]",FALSE,,,,,,
Wednesday,28-Dec-22,Midday,"[9, 11, 15, 21, 24, 25, 36, 38, 40, 44, 47, 50, 51, 55, 56, 57, 59, 64, 65, 69]",FALSE,,,,,,
Wednesday,28-Dec-22,Evening,"[1, 2, 7, 8, 17, 28, 33, 34, 36, 38, 41, 42, 44, 45, 46, 47, 48, 57, 60, 69]",TRUE,"[[8, 12, 44, 47, 69], [5, 11, 23]]","[2.0, 2.0]","[[8, 44, 47, 69], []]","['4/5', '0/3']",10,App Quickpick
Thursday,29-Dec-22,Midday,"[4, 6, 7, 12, 14, 17, 21, 28, 30, 35, 38, 41, 42, 45, 53, 59, 63, 64, 68, 70]",TRUE,"[[7, 15, 45], [20, 23, 37, 40, 68], [4, 16, 32, 50, 63]]","[2.0, 2.0, 2.0]","[[7, 45], [68], [4, 63]]","['2/3', '1/5', '2/5']",,App Quickpick
Thursday,29-Dec-22,Evening,"[1, 3, 4, 6, 12, 13, 15, 22, 23, 25, 33, 35, 40, 41, 44, 49, 51, 55, 56, 61]",FALSE,,,,,,
Friday,30-Dec-22,Midday,"[3, 7, 8, 9, 11, 13, 18, 20, 22, 24, 27, 37, 39, 50, 56, 60, 62, 63, 68, 69]",TRUE,"[[5, 17, 43, 55, 59], [25, 28, 49, 51, 61], [6, 19, 46, 57, 58], [16, 26, 60], [24, 44, 61]]","[2.0, 2.0, 2.0, 2.0, 2.0]","[[], [], [], [60], [24]]","['0/5', '0/5', '0/5', '1/3', '1/3']",,Algorithm
Friday,30-Dec-22,Evening,"[3, 4, 8, 9, 16, 18, 19, 20, 24, 28, 29, 31, 32, 34, 35, 37, 39, 43, 44, 66]",TRUE,"[[32, 40, 42], [22, 27, 40]]","[2.0, 2.0]","[[32], []]","['1/3', '0/3']",,App Quickpick
Saturday,31-Dec-22,Midday,"[1, 5, 6, 12, 16, 17, 21, 22, 23, 32, 33, 34, 42, 45, 47, 57, 58, 59, 63, 69]",FALSE,,,"[None, None]","[None, None]",,
Saturday,31-Dec-22,Evening,"[2, 3, 4, 5, 6, 8, 9, 20, 23, 27, 28, 32, 37, 45, 51, 52, 54, 56, 65, 66]",FALSE,,,"[None, None]","[None, None]",,
Sunday,01-Jan-23,Midday,"[3, 7, 9, 14, 19, 21, 22, 30, 32, 34, 38, 39, 43, 53, 54, 56, 61, 64, 65, 69]",TRUE,"[[24, 45, 49, 59, 65], [15, 26, 28, 37, 69], [5, 7, 13, 29, 37], [21, 40, 52, 57, 59], [24, 31, 45, 53, 54]]","[2.0, 2.0, 2.0, 2.0, 2.0]","[[65], [69], [7], [21], [53, 54]]","['1/5', '1/5', '1/5', '1/5', '2/5']",,Algorithm
Sunday,01-Jan-23,Evening,"[4, 5, 10, 11, 13, 18, 19, 27, 31, 32, 37, 41, 43, 44, 47, 48, 55, 58, 63, 70]",TRUE,"[[23, 30, 40], [6, 32, 61], [6, 17, 55], [4, 23, 57], [31, 54, 59], [3, 28, 54], [14, 29, 42], [2, 3, 36], [13, 36, 44], [1, 27, 52]]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[[], [32], [55], [4], [31], [], [], [], [13, 44], [27]]","['0/3', '1/3', '1/3', '1/3', '1/3', '0/3', '0/3', '0/3', '2/3', '1/3']",,Algorithm
Monday,02-Jan-23,Midday,"[2, 9, 11, 14, 21, 24, 29, 38, 40, 42, 47, 48, 50, 57, 58, 59, 60, 61, 66, 70]",FALSE,"[[], [], [], [], [], [], [], [], [], []]",[],"[None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None]",,Algorithm
Monday,02-Jan-23,Evening,"[2, 3, 4, 7, 15, 24, 25, 30, 38, 39, 44, 47, 48, 53, 54, 56, 58, 60, 66, 68]",TRUE,"[[10, 52, 62], [49, 31, 16], [68, 53, 30], [36, 15, 46], [5, 66, 19], [5, 15, 31]]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[[], [], [68, 53, 30], [15], [66], [15]]","['0/3', '0/3', '3/3', '1/3', '1/3', '1/3']",,Manual Picks
